交流Q群,#genre#
民视新闻台,http://211.72.65.236:8542/.m3u8
年代新闻,http://211.72.65.236:8529/.m3u8
东森戏剧,http://211.72.65.236:8530/.m3u8
三立新闻,http://211.72.65.236:8543/.m3u8
TVBS HD,http://211.72.65.236:8575/.m3u8
凤凰卫视,http://211.72.65.236:8577/.m3u8
壹新闻,http://211.72.65.236:8548/.m3u8
环宇新闻,http://211.72.65.236:8547/.m3u8
国冡地理野生,http://211.72.65.236:8510/.m3u8
中天新闻,http://211.72.65.236:8541/.m3u8
纬来电影,http://211.72.65.236:8579/.m3u8
东森新闻,http://211.72.65.236:8540/.m3u8
纬来体育,http://211.72.65.236:8585/.m3u8
动物星球,http://211.72.65.236:8512/.m3u8
纬来日本,http://211.72.65.236:8537/.m3u8
中天,http://211.72.65.236:8526/.m3u8
中天新聞 HD,http://211.72.65.236:8541/.m3u8
东森财经,http://211.72.65.236:8546/.m3u8
海峡卫视,http://211.72.65.236:8570/.m3u8
卫视电影,http://211.72.65.236:8578/.m3u8
卫视中文,http://211.72.65.236:8523/.m3u8
纬来,http://211.72.65.236:8518/.m3u8
三立湾,http://211.72.65.236:8521/.m3u8
东方37,http://211.72.65.236:8528/.m3u8
好莱坞电影,http://211.72.65.236:8554/.m3u8
TVBS新闻,http://211.72.65.236:8574/.m3u8
CINEMAX,http://211.72.65.236:8559/.m3u8
中视,http://211.72.65.236:8502/.m3u8
华视,http://211.72.65.236:8503/.m3u8
TVBS欢乐,http://211.72.65.236:8532/.m3u8
博斯运动1,http://211.72.65.236:8587/.m3u8
三立都会,http://211.72.65.236:8522/.m3u8
人间卫视,http://211.72.65.236:8506/.m3u8
中天娱乐,http://211.72.65.236:8527/.m3u8
地理野生,http://211.72.65.236:8509/.m3u8
龙华卡通,http://211.72.65.236:8517/.m3u8
龙华偶像,http://211.72.65.236:8536/.m3u8
龙华日韩,http://211.72.65.236:8535/.m3u8
龙华戏剧,http://211.72.65.236:8534/.m3u8
龙华电影,http://211.72.65.236:8581/.m3u8
纬来育乐,http://211.72.65.236:8584/.m3u8
GOODTV好消息,http://211.72.65.236:8508/.m3u8
TCL,http://211.72.65.236:8511/.m3u8
卫视西片,http://211.72.65.236:8583/.m3u8
东森超视,http://211.72.65.236:8525/.m3u8
东森幼幼,http://211.72.65.236:8515/.m3u8
东森,http://211.72.65.236:8524/.m3u8
纬来戏剧,http://211.72.65.236:8533/.m3u8
非凡商业,http://211.72.65.236:8545/.m3u8
八大戏剧,http://211.72.65.236:8531/.m3u8
湖南卫视,http://211.72.65.236:8573/.m3u8
八大,http://211.72.65.236:8520/.m3u8
八大第一,http://211.72.65.236:8519/.m3u8
亚洲旅游,http://211.72.65.236:8513/.m3u8
STARWORD,http://211.72.65.236:8561/.m3u8
民视,http://211.72.65.236:8504/.m3u8
YAIWAN,http://211.72.65.236:8538/.m3u8
公视,http://211.72.65.236:8505/.m3u8
大爱,http://211.72.65.236:8507/.m3u8
HBO,http://211.72.65.236:8580/.m3u8
AXN,http://211.72.65.236:8582/.m3u8
S M T台湾,#genre#
TVBS News 新闻台,http://ku9.fr.to/smt.php?id=tvbs_n
TVBS 欢乐台 （备份）,http://ku9.fr.to/smt.php?id=tvbshuanle_twn
中天新闻 HD,http://ku9.fr.to/smt.php?id=ctinews
中天娱乐 CTI Entertaiment,http://ku9.fr.to/smt.php?id=ctient
中天综合 CTI Metro,http://ku9.fr.to/smt.php?id=ctizhonghe
中天亚洲台,http://ku9.fr.to/smt.php?id=ctiasia_twn
台视 TTV HD,http://ku9.fr.to/smt.php?id=ttv_taiwan
台视新闻台,http://ku9.fr.to/smt.php?id=ttvnews_twn
台视综合台,http://ku9.fr.to/smt.php?id=ttvzhonghe_twn
中视 HD,http://ku9.fr.to/smt.php?id=zhongshihd_twn
中视新闻台,http://ku9.fr.to/smt.php?id=zhongshinews_twn
民视 HD,http://ku9.fr.to/smt.php?id=ftvhd_taiwan
民视新闻台 FTV News,http://ku9.fr.to/smt.php?id=ftvnew_taiwan
民视台湾台,http://ku9.fr.to/smt.php?id=ftvtaiwan_twn
华视 CTS HD,http://ku9.fr.to/smt.php?id=ctshd_twn
公视 CTV,http://ku9.fr.to/smt.php?id=ctv_taiwan
八大第一 GTV First,http://ku9.fr.to/smt.php?id=badafirst
八大综合 GTV Metro,http://ku9.fr.to/smt.php?id=badazhonghe
八大戏剧 GTV Drama,http://ku9.fr.to/smt.php?id=badadrama
八大娱乐 GTV Entertainment,http://ku9.fr.to/smt.php?id=badaentertain
HBO_HD,http://ku9.fr.to/smt.php?id=hbohd_twn
HBO_HITS,http://ku9.fr.to/smt.php?id=hbohits_twn
Hollywood Movies,http://ku9.fr.to/smt.php?id=hollywoodmovies_twn
三立台湾 Sanli Taiwan,http://ku9.fr.to/smt.php?id=sanlitaiwan
三立戏剧台,http://ku9.fr.to/smt.php?id=sanlixiju_twn
三立综合 Sanli Metro,http://ku9.fr.to/smt.php?id=sanlizhonghe
三立都会台,http://ku9.fr.to/smt.php?id=sanlidouhui
东森新闻 ETTV News,http://ku9.fr.to/smt.php?id=ettvnews
东森综合 ETTV Metro,http://ku9.fr.to/smt.php?id=ettvzhonghe
东森戏剧 ETTV Drama,http://ku9.fr.to/smt.php?id=ettvdrama
东森财经新闻 ETTV Business,http://ku9.fr.to/smt.php?id=ettvcaijing_twn
寰宇财经,http://ku9.fr.to/smt.php?id=huanyutaiwan_twn
寰宇新闻台,http://ku9.fr.to/smt.php?id=huanyuxinwen_twn
大爱1台,http://ku9.fr.to/smt.php?id=daai_twn
非凡新闻台,http://ku9.fr.to/smt.php?id=feifannews_twn
龙华戏剧 Lunghua Drama,http://ku9.fr.to/smt.php?id=lunghuaxiju_twn
龙华戏剧台,http://ku9.fr.to/smt.php?id=lunghuaxiju_twn
龙华经典台,http://ku9.fr.to/smt.php?id=lunghuajingdian_twn
AXN Taiwan,http://ku9.fr.to/smt.php?id=axn_twn
靖天国际台,http://ku9.fr.to/smt.php?id=jingtianintl_twn
纬来日本台,http://ku9.fr.to/smt.php?id=videolandjapan
纬来电影台,http://ku9.fr.to/smt.php?id=videolandmovie_twn
