China=大陸_,#genre#
千禧經典臺,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8e2bacd197c089bfc88ca981faf2779e/master.m3u8
TVB娛樂新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/2a0cdb5166ca078fc27bc04bc6f57b20/master.m3u8
美亞電影(HK),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/5da0c77e46dcf7ba4c7ea846e5a98a10/master.m3u8
龍祥國際電影,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/389f4afcc60bb19b48660b3a0564bd63/master.m3u8
Kix終極電影(HK),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/92b3b4cf79ddf460fec07ba0818b217f/master.m3u8
Now爆谷 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ff67939376b098b20ec246444b4e6792/master.m3u8
Now星影 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/915f0d6e6865ab01f68c7e71fb34acca/master.m3u8
Now Sports Prmie,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/b21c4fbe8303d9d53895c1eeacf607fc/master.m3u8
Love Nature 4K,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/0a52a2873a8c5f0bb6a3daef5eca31d4/master.m3u8
星空衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/0542cafe3ccfa5d99b36ecdc0e458a8e/master.m3u8
POPC 電影,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/d3390751c826f45ae5f6198eed44aef8/master.m3u8
Thrill (HK),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/a1fe99f13f321d96d1c4e635e45a0a5b/master.m3u8
TVB翡翠 HD(備),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/746989a7e57b4e0b05119d86782595f1/master.m3u8
Now 华剧 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/28cdd80d7618cfef89833e4cf0cd9a43/master.m3u8
Now 剧集 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/b620cd19aef0ea49ad8e82ffd488b010/master.m3u8
Taiwan=台灣_,#genre#
民視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ef4af395a3adbe2993b4b62aa7c332f0/master.m3u8
台視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/c10681f5d8719688d607e0be89aea3aa/master.m3u8
中視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/e714d83508be862fd094244c41d5adcf/master.m3u8
華視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/9ca99f2feea7527a458b8db3daeaedf8/master.m3u8
公視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/d6434074feec3061fcf081b38c2cc581/master.m3u8
民視第一 ,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/9a3a9a7c2e95d6c08a05f400cca0b89f/master.m3u8
民視台灣,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8586e5262d37afde99d0e6f8cc102987/master.m3u8
民視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/399c37b3c65920b44bd967c2d0870a09/master.m3u8
台視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ad13cd4527b8f83cdf8aba48c0a2c4bf/master.m3u8
