央视ITV,#genre#
中国教育1,http://111.29.9.33:6610/000000001000/0/6000000003000018981.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000003000018981$华数1.8M
中国教育2,http://111.29.9.33:6610/000000001000/1/2000000003000000047.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000047$湖南bblive4M
中国教育2,http://111.29.9.33:6610/000000001000/1/1000000005000266004.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000266004$易视腾4M
中国教育2,http://111.29.9.33:6610/000000001000/1/5000000011000031201.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031201$百视通2.5M
中国教育4,http://111.29.9.33:6610/000000001000/1/5000000011000031126.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031126$百视通6.8M
中国教育4,http://111.29.9.33:6610/000000001000/1/1000000005000025333.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000025333$易视腾4M
中国教育4,http://111.29.9.33:6610/000000001000/1/5000000006000012123.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000006000012123$百视通2.5M
中国教育4,http://111.29.9.33:6610/000000001000/0/6000000005000042312.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000005000042312$华数1.8M

卫视ITV,#genre#
广东珠江,http://111.29.9.33:6610/000000001000/1/2000000003000000033.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000033$湖南bblive
广东珠江,http://111.29.9.33:6610/000000001000/1/1000000004000011655.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000004000011655$易视腾2.5M
广东大湾区卫视,http://111.29.9.33:6610/000000001000/1/2000000003000000045.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000003000000045$湖南bblive4M
广东大湾区卫视,http://111.29.9.33:6610/000000001000/1/1000000002000011619.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000011619$易视腾4M
湖南卫视,http://111.29.9.33:6610/000000001000/1/5000000004000006692.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000006692$百视通8M
